MY-01,0.013265
0,0.007823
0.0017,0.008054
0.0111,0.012423
0.0159,0.016247
0.0196,0.020459
0.0241,0.024662
0.0284,0.028569
0.0337,0.032151
0.0381,0.03553
0.0423,0.038761
0.0466,0.041807
0.051,0.044686
0.0551,0.046796
0.0594,0.049102
0.0638,0.051203
0.068,0.05323
0.0723,0.05511
0.0766,0.05685
0.0807,0.05847
0.0863,0.060016
0.0905,0.061469
0.0937,0.06258
0.099,0.063737
0.1033,0.064848
0.1084,0.066052
0.1117,0.066728
0.1161,0.067607
0.1203,0.068412
0.1246,0.06919
0.1298,0.069986
0.1331,0.070588
0.1374,0.071116
0.1416,0.071662
0.1459,0.072199
0.1501,0.072662
0.1554,0.073087
0.1598,0.073495
0.1641,0.073902
0.1684,0.074282
0.1726,0.074652
0.1768,0.074994
0.1823,0.075309
0.1855,0.075541
0.1896,0.075781
0.1939,0.076022
0.1983,0.076263
0.2024,0.076495
0.2066,0.076689
0.2121,0.076893
0.2164,0.077115
0.2206,0.077281
0.2249,0.077402
0.2291,0.077568
0.2344,0.077735
0.2377,0.077846
0.242,0.078013
0.2462,0.07817
0.2504,0.07829
0.2558,0.07842
0.259,0.078522
0.2643,0.078642
0.2686,0.078763
0.2729,0.078874
0.277,0.078957
0.2801,0.079022
0.2856,0.079124
0.2903,0.079216
0.2937,0.07929
0.299,0.079355
0.3034,0.079448
0.3085,0.07954
0.3105,0.079614
0.3161,0.07967
0.3191,0.079725
0.3258,0.07979
0.3287,0.079846
0.3341,0.07991
0.3383,0.079975
0.3424,0.08004
0.3464,0.080114
0.3506,0.08017
0.3552,0.080216
0.3604,0.080271
0.364,0.080318
0.3671,0.080355
0.3735,0.08042
0.3768,0.080466
0.3812,0.080503
0.3842,0.080549
0.3908,0.080577
0.3938,0.080614
0.3993,0.080642
0.4025,0.080716
0.4073,0.080762
0.4114,0.080818
0.4156,0.080864
0.4202,0.080873
0.4253,0.080892
0.4291,0.080901
0.4336,0.080938
0.4385,0.080994
0.4418,0.08104
0.4473,0.081068
0.4503,0.081095
0.4558,0.081123
0.4588,0.081151
0.4654,0.081179
0.4683,0.081188
0.4726,0.081216
